"date","number_of_strikes","center_point_geom"
"2018-01-03","40","POINT(-75.2 28.3)"
"2018-01-03","31","POINT(-77.8 28.2)"
"2018-01-03","34","POINT(-77.6 28.2)"
"2018-01-03","61","POINT(-77.5 28.2)"
"2018-01-03","88","POINT(-77.4 28.2)"
"2018-01-03","31","POINT(-78 28.4)"
"2018-01-03","47","POINT(-77 28.4)"
"2018-01-03","53","POINT(-75 28.4)"
"2018-01-03","29","POINT(-78.5 28.4)"
"2018-01-03","49","POINT(-78.4 28.4)"
"2018-01-03","50","POINT(-78.3 28.4)"
"2018-01-03","155","POINT(-78.2 28.4)"
"2018-01-03","213","POINT(-78.1 28.4)"
"2018-01-03","49","POINT(-77.6 28.4)"
"2018-01-03","72","POINT(-77.5 28.4)"
"2018-01-03","32","POINT(-77.4 28.4)"
"2018-01-03","34","POINT(-77.1 28.4)"
"2018-01-03","68","POINT(-76.9 28.4)"
"2018-01-03","38","POINT(-76.8 28.4)"
"2018-01-03","33","POINT(-76.7 28.4)"
"2018-01-03","25","POINT(-76.4 28.4)"
"2018-01-03","37","POINT(-75.1 28.4)"
"2018-01-03","39","POINT(-71.5 28.2)"
"2018-01-03","25","POINT(-71.3 28.2)"
"2018-01-03","26","POINT(-71.2 28.4)"
"2018-01-03","50","POINT(-75 28.5)"
"2018-01-03","25","POINT(-71 28.5)"
"2018-01-03","26","POINT(-78.1 28.5)"
"2018-01-03","41","POINT(-77.5 28.5)"
"2018-01-03","170","POINT(-77.4 28.5)"
"2018-01-03","38","POINT(-77.3 28.5)"
"2018-01-03","40","POINT(-76.7 28.5)"
"2018-01-03","49","POINT(-76.6 28.5)"
"2018-01-03","69","POINT(-74.9 28.5)"
"2018-01-03","26","POINT(-74.8 28.5)"
"2018-01-03","55","POINT(-77.4 28.6)"
"2018-01-03","86","POINT(-77.3 28.6)"
"2018-01-03","58","POINT(-77.2 28.6)"
"2018-01-03","29","POINT(-77.1 28.6)"
"2018-01-03","33","POINT(-76.6 28.6)"
"2018-01-03","41","POINT(-76.5 28.6)"
"2018-01-03","25","POINT(-74.8 28.6)"
"2018-01-03","31","POINT(-76.5 28.7)"
"2018-01-03","33","POINT(-76.4 28.7)"
"2018-01-03","26","POINT(-77.2 28.9)"
"2018-01-03","25","POINT(-80.3 28.7)"
"2018-01-03","32","POINT(-80.2 28.7)"
"2018-01-03","23","POINT(-77.3 28.7)"
"2018-01-03","34","POINT(-77.1 28.7)"
"2018-01-03","23","POINT(-78.4 29.1)"
"2018-01-03","57","POINT(-78.3 29.1)"
"2018-01-03","112","POINT(-78.2 29.1)"
"2018-01-03","35","POINT(-78.1 29.1)"
"2018-01-03","31","POINT(-77.9 29.1)"
"2018-01-03","44","POINT(-77.6 29.1)"
"2018-01-03","42","POINT(-77.5 29.1)"
"2018-01-03","48","POINT(-79 29.2)"
"2018-01-03","49","POINT(-78 29.2)"
"2018-01-03","37","POINT(-78 29.3)"
"2018-01-03","28","POINT(-78.1 29.3)"
"2018-01-03","26","POINT(-77.9 29.3)"
"2018-01-03","64","POINT(-77.8 29.3)"
"2018-01-03","66","POINT(-77.7 29.3)"
"2018-01-03","55","POINT(-77.6 29.3)"
"2018-01-03","32","POINT(-77.5 29.3)"
"2018-01-03","45","POINT(-77.4 29.3)"
"2018-01-03","48","POINT(-79 29.1)"
"2018-01-03","84","POINT(-79.1 29.1)"
"2018-01-03","32","POINT(-78.9 29.1)"
"2018-01-03","88","POINT(-78.3 29.7)"
"2018-01-03","104","POINT(-78.2 29.7)"
"2018-01-03","142","POINT(-77.7 29.4)"
"2018-01-03","82","POINT(-77.6 29.4)"
"2018-01-03","68","POINT(-77.5 29.4)"
"2018-01-03","51","POINT(-77.4 29.4)"
"2018-01-03","23","POINT(-77.3 29.4)"
"2018-01-03","43","POINT(-77.7 29.5)"
"2018-01-03","71","POINT(-79.1 29.2)"
"2018-01-03","51","POINT(-78.8 29.2)"
"2018-01-03","74","POINT(-78.2 29.2)"
"2018-01-03","110","POINT(-78.1 29.2)"
"2018-01-03","29","POINT(-77.9 29.2)"
"2018-01-03","45","POINT(-77.8 29.2)"
"2018-01-03","23","POINT(-77.6 29.2)"
"2018-01-03","45","POINT(-77.5 29.2)"
"2018-01-03","26","POINT(-77.4 29.2)"
"2018-01-03","42","POINT(-76.9 29.9)"
"2018-01-03","29","POINT(-76.8 29.9)"
"2018-01-03","50","POINT(-76.7 29.9)"
"2018-01-03","86","POINT(-77.6 29.5)"
"2018-01-03","70","POINT(-77.5 29.5)"
"2018-01-03","84","POINT(-77.4 29.5)"
"2018-01-03","64","POINT(-77.3 29.5)"
"2018-01-03","25","POINT(-77.2 29.5)"
"2018-01-03","53","POINT(-78.2 29.6)"
"2018-01-03","39","POINT(-77.7 29.6)"
"2018-01-03","48","POINT(-77.5 29.6)"
"2018-01-03","86","POINT(-77.4 29.6)"
"2018-01-03","64","POINT(-77.3 29.6)"
"2018-01-03","29","POINT(-77.2 29.6)"
"2018-01-03","71","POINT(-77.1 29.6)"
"2018-01-03","25","POINT(-77 29.7)"
"2018-01-03","29","POINT(-77.8 30.3)"
"2018-01-03","44","POINT(-77.3 29.7)"
"2018-01-03","52","POINT(-77.2 29.7)"
"2018-01-03","38","POINT(-77.1 29.7)"
"2018-01-03","45","POINT(-78.2 29.8)"
"2018-01-03","37","POINT(-77.1 29.8)"
"2018-01-03","40","POINT(-76.8 29.8)"
"2018-01-03","25","POINT(-77.7 30.5)"
"2018-01-03","23","POINT(-76.4 30.5)"
"2018-01-03","32","POINT(-76.2 30.5)"
"2018-01-03","38","POINT(-76.1 30.5)"
"2018-01-03","40","POINT(-76.7 30.1)"
"2018-01-03","29","POINT(-76.7 30.2)"
"2018-01-03","38","POINT(-76.6 30.2)"
"2018-01-03","32","POINT(-76.5 30.4)"
"2018-01-03","23","POINT(-76.4 30.6)"
"2018-01-03","26","POINT(-76.3 30.6)"
"2018-01-03","31","POINT(-76.2 30.6)"
"2018-01-03","28","POINT(-76.2 30.7)"
"2018-01-03","39","POINT(-76.2 30.8)"
"2018-01-04","23","POINT(-76.3 32.2)"
"2018-01-04","23","POINT(-75.5 33.7)"
"2018-01-07","31","POINT(-96.6 32.2)"
"2018-01-07","23","POINT(-96.4 32.2)"
"2018-01-07","75","POINT(-96.5 32.3)"
"2018-01-07","148","POINT(-96.4 32.3)"
"2018-01-07","59","POINT(-96.3 32.3)"
"2018-01-07","70","POINT(-96.3 32.4)"
"2018-01-07","81","POINT(-96.2 32.4)"
"2018-01-07","65","POINT(-96.1 32.4)"
"2018-01-08","100","POINT(-92.6 28.9)"
"2018-01-08","131","POINT(-92.5 28.9)"
"2018-01-08","72","POINT(-92.4 28.9)"
"2018-01-08","48","POINT(-92.1 28.9)"
"2018-01-08","81","POINT(-91.9 28.9)"
"2018-01-08","96","POINT(-91.8 28.9)"
"2018-01-08","41","POINT(-91.7 28.9)"
"2018-01-08","26","POINT(-91.6 28.9)"
"2018-01-08","94","POINT(-91.2 28.9)"
"2018-01-08","70","POINT(-91.1 28.9)"
"2018-01-08","86","POINT(-90.9 28.9)"
"2018-01-08","31","POINT(-90.8 28.9)"
"2018-01-08","23","POINT(-94 28.9)"
"2018-01-08","49","POINT(-95.2 29.1)"
"2018-01-08","369","POINT(-95.1 29.1)"
"2018-01-08","423","POINT(-94.9 29.1)"
"2018-01-08","328","POINT(-94.8 29.1)"
"2018-01-08","128","POINT(-94.7 29.1)"
"2018-01-08","64","POINT(-94.6 29.1)"
"2018-01-08","54","POINT(-94.5 29.1)"
"2018-01-08","42","POINT(-94.4 29.1)"
"2018-01-08","76","POINT(-94.3 29.1)"
"2018-01-08","65","POINT(-94.2 29.1)"
"2018-01-08","105","POINT(-94.1 29.1)"
"2018-01-08","175","POINT(-93.9 29.1)"
"2018-01-08","50","POINT(-93.8 29.1)"
"2018-01-08","64","POINT(-93.7 29.1)"
"2018-01-08","37","POINT(-93.4 29.1)"
"2018-01-08","42","POINT(-92 28.9)"
"2018-01-08","54","POINT(-91 28.9)"
"2018-01-08","39","POINT(-95.4 28.9)"
"2018-01-08","31","POINT(-95.3 28.9)"
"2018-01-08","36","POINT(-94.6 28.9)"
"2018-01-08","31","POINT(-93.9 28.9)"
"2018-01-08","26","POINT(-93.8 28.9)"
"2018-01-08","39","POINT(-92.9 28.9)"
"2018-01-08","61","POINT(-92.8 28.9)"
"2018-01-08","80","POINT(-92.7 28.9)"
"2018-01-08","28","POINT(-88.6 29.1)"
"2018-01-08","61","POINT(-87.1 29.1)"
"2018-01-08","66","POINT(-86.8 29.1)"
"2018-01-08","76","POINT(-96 29.2)"
"2018-01-08","142","POINT(-95 29.2)"
"2018-01-08","53","POINT(-94 29.2)"
"2018-01-08","34","POINT(-92 29.2)"
"2018-01-08","35","POINT(-91 29.2)"
"2018-01-08","49","POINT(-88.1 28.9)"
"2018-01-08","33","POINT(-87.7 28.9)"
"2018-01-08","26","POINT(-87.6 28.9)"
"2018-01-08","43","POINT(-87.3 28.9)"
"2018-01-08","39","POINT(-87.2 28.9)"
"2018-01-08","79","POINT(-86.4 28.9)"
"2018-01-08","589","POINT(-95 29.1)"
"2018-01-08","44","POINT(-94 29.1)"
