"date","number_of_strikes","center_point_geom"
"2018-01-22","60","POINT(-92.4 35.5)"
"2018-01-22","88","POINT(-92.3 35.5)"
"2018-01-22","84","POINT(-92.2 35.5)"
"2018-01-22","131","POINT(-92.1 35.5)"
"2018-01-22","49","POINT(-91.9 35.5)"
"2018-01-22","41","POINT(-91.8 35.5)"
"2018-01-22","34","POINT(-91.7 35.5)"
"2018-01-22","29","POINT(-88.9 35.7)"
"2018-01-22","34","POINT(-95 35.8)"
"2018-01-22","82","POINT(-94 35.8)"
"2018-01-22","25","POINT(-93 35.8)"
"2018-01-22","31","POINT(-89 35.8)"
"2018-01-22","62","POINT(-95.4 35.8)"
"2018-01-22","26","POINT(-94.4 35.6)"
"2018-01-22","48","POINT(-94.2 35.6)"
"2018-01-22","47","POINT(-94.1 35.6)"
"2018-01-22","101","POINT(-93.9 35.6)"
"2018-01-22","109","POINT(-93.8 35.6)"
"2018-01-22","72","POINT(-93.7 35.6)"
"2018-01-22","156","POINT(-93.6 35.6)"
"2018-01-22","76","POINT(-93.5 35.6)"
"2018-01-22","52","POINT(-93.4 35.6)"
"2018-01-22","25","POINT(-93.2 35.6)"
"2018-01-22","90","POINT(-93.1 35.6)"
"2018-01-22","44","POINT(-92.7 35.6)"
"2018-01-22","25","POINT(-92.5 35.6)"
"2018-01-22","48","POINT(-92.3 35.6)"
"2018-01-22","57","POINT(-92.2 35.6)"
"2018-01-22","63","POINT(-91.9 35.6)"
"2018-01-22","31","POINT(-91.8 35.6)"
"2018-01-22","29","POINT(-89.1 35.6)"
"2018-01-22","59","POINT(-94.1 35.8)"
"2018-01-22","157","POINT(-93.9 35.8)"
"2018-01-22","194","POINT(-93.8 35.8)"
"2018-01-22","177","POINT(-93.7 35.8)"
"2018-01-22","94","POINT(-93.6 35.8)"
"2018-01-22","92","POINT(-93.5 35.8)"
"2018-01-22","88","POINT(-93.4 35.8)"
"2018-01-22","52","POINT(-93.3 35.8)"
"2018-01-22","33","POINT(-92.9 35.8)"
"2018-01-22","25","POINT(-92.8 35.8)"
"2018-01-22","35","POINT(-95.1 35.7)"
"2018-01-22","34","POINT(-94.9 35.7)"
"2018-01-22","44","POINT(-94.8 35.7)"
"2018-01-22","26","POINT(-94.2 35.7)"
"2018-01-22","56","POINT(-94.1 35.7)"
"2018-01-22","96","POINT(-93.9 35.7)"
"2018-01-22","116","POINT(-93.8 35.7)"
"2018-01-22","98","POINT(-93.7 35.7)"
"2018-01-22","110","POINT(-93.6 35.7)"
"2018-01-22","153","POINT(-93.5 35.7)"
"2018-01-22","73","POINT(-93.4 35.7)"
"2018-01-22","56","POINT(-93.3 35.7)"
"2018-01-22","38","POINT(-93.1 35.7)"
"2018-01-22","35","POINT(-92.9 35.7)"
"2018-01-22","23","POINT(-92.3 35.7)"
"2018-01-22","39","POINT(-92.1 35.7)"
"2018-01-22","35","POINT(-91.9 35.7)"
"2018-01-22","63","POINT(-91.8 35.7)"
"2018-01-22","34","POINT(-91.4 35.7)"
"2018-01-22","29","POINT(-91.3 35.7)"
"2018-01-22","23","POINT(-90.4 26.8)"
"2018-01-22","50","POINT(-90.3 26.8)"
"2018-01-22","48","POINT(-90.2 26.8)"
"2018-01-22","61","POINT(-90.1 26.8)"
"2018-01-22","33","POINT(-89.7 26.8)"
"2018-01-22","44","POINT(-89.6 26.8)"
"2018-01-22","55","POINT(-89.5 26.8)"
"2018-01-22","72","POINT(-89.4 26.8)"
"2018-01-22","34","POINT(-89.3 26.8)"
"2018-01-22","49","POINT(-90 26.9)"
"2018-01-22","40","POINT(-91.2 26.9)"
"2018-01-22","23","POINT(-91.1 26.9)"
"2018-01-22","23","POINT(-90.9 26.9)"
"2018-01-22","29","POINT(-90.7 26.9)"
"2018-01-22","42","POINT(-90.6 26.9)"
"2018-01-22","95","POINT(-90.5 26.9)"
"2018-01-22","51","POINT(-90.4 26.9)"
"2018-01-22","47","POINT(-90.3 26.9)"
"2018-01-22","40","POINT(-95.3 35.8)"
"2018-01-22","64","POINT(-95.2 35.8)"
"2018-01-22","55","POINT(-95.1 35.8)"
"2018-01-22","23","POINT(-94.3 35.8)"
"2018-01-22","28","POINT(-89.4 27.1)"
"2018-01-22","32","POINT(-88.6 27.1)"
"2018-01-22","34","POINT(-88.5 27.1)"
"2018-01-22","62","POINT(-88.4 27.1)"
"2018-01-22","44","POINT(-89 27.2)"
"2018-01-22","54","POINT(-89.3 27.2)"
"2018-01-22","31","POINT(-89.2 27.2)"
"2018-01-22","29","POINT(-88.8 27.2)"
"2018-01-22","33","POINT(-90.9 26.8)"
"2018-01-22","32","POINT(-88.3 27.2)"
"2018-01-22","36","POINT(-90.6 27.3)"
"2018-01-22","50","POINT(-90.5 27.3)"
"2018-01-22","32","POINT(-89.1 27.3)"
"2018-01-22","36","POINT(-90.5 27.4)"
"2018-01-22","79","POINT(-90.4 27.4)"
"2018-01-22","40","POINT(-90.3 27.4)"
"2018-01-22","44","POINT(-90.3 27.5)"
"2018-01-22","33","POINT(-90.2 27.5)"
"2018-01-22","28","POINT(-90 27.6)"
"2018-01-22","25","POINT(-86.9 27.6)"
"2018-01-22","86","POINT(-87 27.7)"
"2018-01-22","32","POINT(-88.3 27.7)"
"2018-01-22","55","POINT(-87.7 27.7)"
"2018-01-22","28","POINT(-87.6 27.7)"
"2018-01-22","78","POINT(-87.1 27.7)"
"2018-01-22","159","POINT(-86.9 27.7)"
"2018-01-22","105","POINT(-86.8 27.7)"
"2018-01-22","23","POINT(-88 27.8)"
"2018-01-22","191","POINT(-87 27.8)"
"2018-01-22","38","POINT(-89.8 27.8)"
"2018-01-22","43","POINT(-89.7 27.8)"
"2018-01-22","28","POINT(-88.2 27.8)"
"2018-01-22","28","POINT(-88.1 27.8)"
"2018-01-22","69","POINT(-87.9 27.8)"
"2018-01-22","29","POINT(-87.8 27.8)"
"2018-01-22","67","POINT(-87.4 27.8)"
"2018-01-22","51","POINT(-87.2 27.8)"
"2018-01-22","111","POINT(-87.1 27.8)"
"2018-01-22","163","POINT(-86.9 27.8)"
"2018-01-22","126","POINT(-86.8 27.8)"
"2018-01-22","32","POINT(-86.7 27.8)"
"2018-01-22","60","POINT(-88.9 35.8)"
"2018-01-22","62","POINT(-95 35.9)"
"2018-01-22","67","POINT(-94 35.9)"
"2018-01-22","28","POINT(-93 35.9)"
"2018-01-22","25","POINT(-95.2 35.9)"
"2018-01-22","40","POINT(-95.1 35.9)"
"2018-01-22","41","POINT(-94.5 35.9)"
"2018-01-22","79","POINT(-93.9 35.9)"
"2018-01-22","139","POINT(-93.8 35.9)"
"2018-01-22","219","POINT(-93.7 35.9)"
"2018-01-22","91","POINT(-93.6 35.9)"
"2018-01-22","72","POINT(-93.5 35.9)"
"2018-01-22","135","POINT(-93.4 35.9)"
"2018-01-22","81","POINT(-93.3 35.9)"
"2018-01-22","35","POINT(-93.2 35.9)"
"2018-01-22","23","POINT(-91.5 35.9)"
"2018-01-22","25","POINT(-90.8 35.9)"
"2018-01-22","34","POINT(-88.9 35.9)"
"2018-01-22","60","POINT(-88.8 35.9)"
"2018-01-22","52","POINT(-94.9 36.1)"
"2018-01-22","69","POINT(-94.8 36.1)"
"2018-01-22","25","POINT(-94.7 36.1)"
"2018-01-22","23","POINT(-94.6 36.1)"
"2018-01-22","48","POINT(-93.8 36.1)"
"2018-01-22","28","POINT(-93.6 36.1)"
"2018-01-22","26","POINT(-93.5 36.1)"
"2018-01-22","33","POINT(-93.3 36.1)"
"2018-01-22","55","POINT(-93.2 36.1)"
"2018-01-22","28","POINT(-91.9 36.1)"
"2018-01-22","29","POINT(-91.8 36.1)"
"2018-01-22","39","POINT(-88.6 36.1)"
"2018-01-22","33","POINT(-94.9 36.2)"
"2018-01-22","26","POINT(-94.8 36.2)"
"2018-01-22","59","POINT(-94.7 36.2)"
"2018-01-22","38","POINT(-94.6 36.2)"
"2018-01-22","23","POINT(-93.2 36.2)"
"2018-01-22","33","POINT(-93.1 36.2)"
"2018-01-22","37","POINT(-91.8 36.2)"
"2018-01-22","38","POINT(-91.3 36.2)"
"2018-01-22","50","POINT(-88.5 36.2)"
"2018-01-22","50","POINT(-94.8 36.3)"
"2018-01-22","39","POINT(-94.7 36.3)"
"2018-01-22","31","POINT(-94.6 36.3)"
"2018-01-22","28","POINT(-91.7 36.3)"
"2018-01-22","26","POINT(-91.6 36.3)"
"2018-01-22","39","POINT(-90 28.1)"
"2018-01-22","63","POINT(-88 28.1)"
"2018-01-22","40","POINT(-89.9 28.1)"
"2018-01-22","59","POINT(-89.8 28.1)"
"2018-01-22","25","POINT(-89.7 28.1)"
"2018-01-22","77","POINT(-87.9 28.1)"
"2018-01-22","159","POINT(-87.8 28.1)"
"2018-01-22","224","POINT(-87.7 28.1)"
"2018-01-22","106","POINT(-87.6 28.1)"
"2018-01-22","112","POINT(-87.5 28.1)"
"2018-01-22","36","POINT(-87.4 28.1)"
"2018-01-22","25","POINT(-88 28.2)"
"2018-01-22","79","POINT(-87 27.9)"
"2018-01-22","60","POINT(-90.4 27.9)"
"2018-01-22","61","POINT(-90.3 27.9)"
"2018-01-22","50","POINT(-90.2 27.9)"
"2018-01-22","41","POINT(-88.4 36.3)"
"2018-01-22","45","POINT(-89 28.3)"
"2018-01-22","28","POINT(-89.4 28.3)"
"2018-01-22","49","POINT(-89.2 28.3)"
"2018-01-22","101","POINT(-89.1 28.3)"
"2018-01-22","28","POINT(-88.5 28.3)"
"2018-01-22","35","POINT(-87.6 28.3)"
"2018-01-22","29","POINT(-87.5 28.3)"
"2018-01-22","37","POINT(-89.7 27.9)"
"2018-01-22","42","POINT(-89.5 27.9)"
"2018-01-22","57","POINT(-88.2 27.9)"
"2018-01-22","51","POINT(-87.9 27.9)"
"2018-01-22","28","POINT(-87.8 27.9)"
"2018-01-22","63","POINT(-87.4 27.9)"
"2018-01-22","83","POINT(-87.3 27.9)"
"2018-01-22","138","POINT(-87.2 27.9)"
"2018-01-22","244","POINT(-87.1 27.9)"
"2018-01-22","26","POINT(-86.9 27.9)"
"2018-01-22","28","POINT(-88.1 28.4)"
"2018-01-22","32","POINT(-88.8 28.5)"
"2018-01-22","133","POINT(-88.7 28.5)"
"2018-01-22","116","POINT(-88.6 28.5)"
"2018-01-22","23","POINT(-89.6 28.2)"
"2018-01-22","69","POINT(-87.9 28.2)"
"2018-01-22","62","POINT(-87.8 28.2)"
"2018-01-22","81","POINT(-87.7 28.2)"
"2018-01-22","106","POINT(-87.6 28.2)"
"2018-01-22","98","POINT(-87.5 28.2)"
"2018-01-22","36","POINT(-87.4 28.2)"
"2018-01-22","46","POINT(-88.2 28.7)"
"2018-01-22","43","POINT(-88.1 28.7)"
"2018-01-22","45","POINT(-89 28.8)"
"2018-01-22","38","POINT(-88 28.8)"
"2018-01-22","42","POINT(-90.7 28.8)"
"2018-01-22","62","POINT(-89.1 28.8)"
"2018-01-22","39","POINT(-88.9 28.8)"
"2018-01-22","25","POINT(-88.8 28.8)"
"2018-01-22","26","POINT(-88.1 28.8)"
"2018-01-22","95","POINT(-89 28.4)"
"2018-01-22","38","POINT(-89.2 28.4)"
"2018-01-22","89","POINT(-89.1 28.4)"
"2018-01-22","123","POINT(-88.9 28.4)"
"2018-01-22","118","POINT(-88.8 28.4)"
"2018-01-22","64","POINT(-88.7 28.4)"
"2018-01-22","33","POINT(-88.6 28.4)"
"2018-01-22","40","POINT(-88.5 28.4)"
"2018-01-22","45","POINT(-88.4 28.4)"
"2018-01-22","34","POINT(-88.3 28.4)"
"2018-01-22","56","POINT(-94.7 36.4)"
"2018-01-22","28","POINT(-94.5 36.4)"
"2018-01-22","29","POINT(-92.9 36.4)"
"2018-01-22","39","POINT(-88.3 28.6)"
"2018-01-22","34","POINT(-88.2 28.6)"
"2018-01-22","36","POINT(-91 28.7)"
"2018-01-22","59","POINT(-90.9 28.7)"
"2018-01-22","42","POINT(-90.8 28.7)"
"2018-01-22","31","POINT(-92.7 36.5)"
"2018-01-22","25","POINT(-90.8 36.5)"
"2018-01-22","33","POINT(-88 28.9)"
"2018-01-22","118","POINT(-87 28.9)"
"2018-01-22","35","POINT(-90.6 28.9)"
"2018-01-22","64","POINT(-90.5 28.9)"
"2018-01-22","45","POINT(-90.4 28.9)"
"2018-01-22","58","POINT(-92.5 36.6)"
"2018-01-22","26","POINT(-90.6 36.7)"
"2018-01-22","23","POINT(-89.1 36.7)"
"2018-01-22","34","POINT(-93 36.6)"
"2018-01-22","39","POINT(-92.3 36.8)"
"2018-01-22","50","POINT(-88.8 36.8)"
"2018-01-22","36","POINT(-92.5 36.7)"
"2018-01-22","45","POINT(-92.4 36.7)"
"2018-01-22","26","POINT(-86.1 28.9)"
"2018-01-22","143","POINT(-87 29.1)"
"2018-01-22","25","POINT(-93.4 29.1)"
"2018-01-22","25","POINT(-89.5 29.1)"
"2018-01-22","37","POINT(-88.5 29.1)"
"2018-01-22","33","POINT(-88.4 29.1)"
"2018-01-22","23","POINT(-88.2 29.1)"
"2018-01-22","29","POINT(-89 36.8)"
"2018-01-22","36","POINT(-88.1 29.2)"
"2018-01-22","70","POINT(-88.8 28.9)"
"2018-01-22","43","POINT(-88.7 28.9)"
"2018-01-22","66","POINT(-87.9 28.9)"
"2018-01-22","56","POINT(-87.8 28.9)"
"2018-01-22","50","POINT(-87.7 28.9)"
"2018-01-22","23","POINT(-87.6 28.9)"
"2018-01-22","130","POINT(-86.9 28.9)"
"2018-01-22","206","POINT(-86.8 28.9)"
"2018-01-22","115","POINT(-86.7 28.9)"
"2018-01-22","25","POINT(-85.4 29.3)"
"2018-01-22","23","POINT(-90.3 29.4)"
"2018-01-22","48","POINT(-90.2 29.4)"
"2018-01-22","36","POINT(-90.1 29.4)"
"2018-01-22","33","POINT(-87.6 29.1)"
"2018-01-22","29","POINT(-87.4 29.1)"
"2018-01-22","52","POINT(-87.3 29.1)"
"2018-01-22","42","POINT(-87.2 29.1)"
"2018-01-22","67","POINT(-87.1 29.1)"
"2018-01-22","99","POINT(-86.9 29.1)"
"2018-01-22","42","POINT(-86.8 29.1)"
"2018-01-22","36","POINT(-86.7 29.1)"
"2018-01-22","26","POINT(-86.5 29.1)"
"2018-01-22","72","POINT(-89.9 29.5)"
"2018-01-22","58","POINT(-89.8 29.5)"
"2018-01-22","70","POINT(-89.7 29.5)"
"2018-01-22","33","POINT(-85.8 29.5)"
"2018-01-22","34","POINT(-90.5 29.3)"
"2018-01-22","32","POINT(-90.4 29.3)"
"2018-01-22","25","POINT(-88.1 29.3)"
"2018-01-22","67","POINT(-89.5 29.6)"
"2018-01-22","25","POINT(-89.4 29.6)"
"2018-01-22","33","POINT(-89.3 29.6)"
"2018-01-22","44","POINT(-89.2 29.6)"
"2018-01-22","31","POINT(-89.1 29.6)"
"2018-01-22","28","POINT(-88.2 29.6)"
"2018-01-22","34","POINT(-86.6 36.8)"
"2018-01-22","25","POINT(-94.4 36.9)"
"2018-01-22","25","POINT(-87.1 29.4)"
"2018-01-22","31","POINT(-90 29.5)"
"2018-01-22","32","POINT(-88.9 36.9)"
"2018-01-22","38","POINT(-88.8 36.9)"
"2018-01-22","51","POINT(-88.7 36.9)"
"2018-01-22","31","POINT(-92 37.1)"
"2018-01-22","28","POINT(-94.1 37.1)"
"2018-01-22","38","POINT(-92.1 37.1)"
"2018-01-22","29","POINT(-89.9 29.6)"
"2018-01-22","46","POINT(-88.6 37.1)"
"2018-01-22","46","POINT(-92 37.2)"
"2018-01-22","26","POINT(-92.2 36.9)"
"2018-01-22","26","POINT(-94 37.3)"
"2018-01-22","43","POINT(-94.2 37.3)"
"2018-01-22","26","POINT(-93.9 37.3)"
"2018-01-22","38","POINT(-92.1 37.3)"
"2018-01-22","32","POINT(-91.9 37.3)"
"2018-01-22","46","POINT(-91.8 37.3)"
"2018-01-22","35","POINT(-90.3 37.1)"
"2018-01-22","26","POINT(-92 37.4)"
"2018-01-22","32","POINT(-91.9 37.4)"
"2018-01-22","35","POINT(-91.8 37.4)"
"2018-01-22","41","POINT(-91.7 37.4)"
"2018-01-22","28","POINT(-90.1 37.4)"
"2018-01-22","23","POINT(-88.3 37.4)"
"2018-01-22","29","POINT(-95.4 29.7)"
"2018-01-22","26","POINT(-95.2 29.7)"
"2018-01-22","52","POINT(-89.9 29.7)"
"2018-01-22","79","POINT(-89.1 29.7)"
"2018-01-22","33","POINT(-88.9 29.7)"
"2018-01-22","71","POINT(-88.8 29.7)"
"2018-01-22","44","POINT(-89.8 37.3)"
"2018-01-22","36","POINT(-88.5 37.3)"
"2018-01-22","31","POINT(-88.4 37.3)"
"2018-01-22","71","POINT(-95 29.8)"
"2018-01-22","53","POINT(-89 29.8)"
"2018-01-22","53","POINT(-88 29.8)"
"2018-01-22","64","POINT(-95.1 29.8)"
"2018-01-22","75","POINT(-94.5 29.8)"
"2018-01-22","51","POINT(-94.4 29.8)"
"2018-01-22","26","POINT(-94.2 29.8)"
"2018-01-22","42","POINT(-93.8 29.8)"
"2018-01-22","84","POINT(-93.7 29.8)"
"2018-01-22","60","POINT(-93.6 29.8)"
"2018-01-22","36","POINT(-93.5 29.8)"
"2018-01-22","81","POINT(-89.8 29.8)"
"2018-01-22","56","POINT(-89.7 29.8)"
"2018-01-22","32","POINT(-89.5 29.8)"
"2018-01-22","48","POINT(-89.4 29.8)"
"2018-01-22","25","POINT(-89.3 29.8)"
"2018-01-22","23","POINT(-89.1 29.8)"
"2018-01-22","73","POINT(-88.9 29.8)"
"2018-01-22","35","POINT(-94 29.7)"
"2018-01-22","73","POINT(-89 29.7)"
"2018-01-22","32","POINT(-88 29.7)"
"2018-01-22","25","POINT(-85.8 29.8)"
"2018-01-22","45","POINT(-85.7 29.8)"
"2018-01-22","58","POINT(-95 29.9)"
"2018-01-22","184","POINT(-94 29.9)"
"2018-01-22","37","POINT(-89 29.9)"
"2018-01-22","144","POINT(-94.9 29.9)"
"2018-01-22","69","POINT(-94.8 29.9)"
"2018-01-22","55","POINT(-94.7 29.9)"
"2018-01-22","46","POINT(-94.4 29.9)"
"2018-01-22","137","POINT(-94.3 29.9)"
"2018-01-22","200","POINT(-94.2 29.9)"
"2018-01-22","196","POINT(-94.1 29.9)"
"2018-01-22","104","POINT(-93.9 29.9)"
"2018-01-22","74","POINT(-93.8 29.9)"
"2018-01-22","28","POINT(-93.7 29.9)"
"2018-01-22","65","POINT(-93.6 29.9)"
"2018-01-22","41","POINT(-93.5 29.9)"
"2018-01-22","62","POINT(-93.4 29.9)"
"2018-01-22","49","POINT(-93.3 29.9)"
"2018-01-22","46","POINT(-93.2 29.9)"
"2018-01-22","33","POINT(-88.6 29.7)"
"2018-01-22","46","POINT(-88.5 29.7)"
"2018-01-22","102","POINT(-88.1 29.7)"
"2018-01-22","42","POINT(-86.1 29.7)"
"2018-01-22","56","POINT(-86.8 29.9)"
"2018-01-22","43","POINT(-95 30.1)"
"2018-01-22","91","POINT(-94 30.1)"
"2018-01-22","89","POINT(-93 30.1)"
"2018-01-22","45","POINT(-95.2 30.1)"
"2018-01-22","33","POINT(-95.1 30.1)"
"2018-01-22","33","POINT(-94.4 30.1)"
"2018-01-22","111","POINT(-94.3 30.1)"
"2018-01-22","133","POINT(-94.2 30.1)"
"2018-01-22","94","POINT(-94.1 30.1)"
"2018-01-22","169","POINT(-93.9 30.1)"
"2018-01-22","210","POINT(-93.8 30.1)"
"2018-01-22","228","POINT(-93.7 30.1)"
"2018-01-22","208","POINT(-93.6 30.1)"
"2018-01-22","192","POINT(-93.5 30.1)"
"2018-01-22","92","POINT(-93.4 30.1)"
"2018-01-22","52","POINT(-93.3 30.1)"
"2018-01-22","39","POINT(-93.2 30.1)"
"2018-01-22","71","POINT(-93.1 30.1)"
"2018-01-22","65","POINT(-92.9 30.1)"
"2018-01-22","34","POINT(-92.8 30.1)"
"2018-01-22","56","POINT(-92.7 30.1)"
"2018-01-22","25","POINT(-92.6 30.1)"
"2018-01-22","116","POINT(-88.8 29.8)"
"2018-01-22","54","POINT(-88.7 29.8)"
"2018-01-22","62","POINT(-88.5 29.8)"
"2018-01-22","33","POINT(-88.4 29.8)"
"2018-01-22","44","POINT(-88.3 29.8)"
"2018-01-22","25","POINT(-87.1 30.1)"
"2018-01-22","47","POINT(-95 30.2)"
"2018-01-22","56","POINT(-94 30.2)"
"2018-01-22","67","POINT(-93 30.2)"
"2018-01-22","38","POINT(-92 30.2)"
"2018-01-22","25","POINT(-91.8 37.5)"
"2018-01-22","34","POINT(-91.7 37.5)"
"2018-01-22","26","POINT(-91.6 37.5)"
"2018-01-22","25","POINT(-89.2 29.9)"
"2018-01-22","33","POINT(-88.9 29.9)"
"2018-01-22","56","POINT(-88.8 29.9)"
"2018-01-22","253","POINT(-88.7 29.9)"
"2018-01-22","100","POINT(-88.6 29.9)"
"2018-01-22","29","POINT(-88.5 29.9)"
"2018-01-22","33","POINT(-88.4 29.9)"
"2018-01-22","31","POINT(-93.6 37.6)"
"2018-01-22","33","POINT(-93.5 37.6)"
"2018-01-22","29","POINT(-91.7 37.6)"
"2018-01-22","36","POINT(-91.6 37.6)"
"2018-01-22","28","POINT(-89.9 37.6)"
"2018-01-22","26","POINT(-89.8 37.6)"
"2018-01-22","28","POINT(-89.5 37.6)"
"2018-01-22","43","POINT(-92.5 30.1)"
"2018-01-22","38","POINT(-92.4 30.1)"
"2018-01-22","28","POINT(-92.3 30.1)"
"2018-01-22","34","POINT(-88.2 30.1)"
"2018-01-22","45","POINT(-88.1 30.1)"
"2018-01-22","38","POINT(-91.6 37.7)"
"2018-01-22","33","POINT(-91.5 37.7)"
"2018-01-22","25","POINT(-89.9 37.5)"
"2018-01-22","25","POINT(-89.5 37.5)"
"2018-01-22","23","POINT(-88.1 37.5)"
"2018-01-22","45","POINT(-86.9 37.8)"
"2018-01-22","39","POINT(-89.1 37.9)"
"2018-01-22","23","POINT(-88.1 37.6)"
"2018-01-22","28","POINT(-87 37.7)"
"2018-01-22","32","POINT(-89.3 38.1)"
"2018-01-22","32","POINT(-89.2 38.1)"
"2018-01-22","26","POINT(-92.1 30.2)"
"2018-01-22","28","POINT(-91.9 30.2)"
"2018-01-22","28","POINT(-91.8 30.2)"
"2018-01-22","26","POINT(-91.7 30.2)"
"2018-01-22","38","POINT(-91.2 30.2)"
"2018-01-22","45","POINT(-91.1 30.2)"
"2018-01-22","77","POINT(-95 30.3)"
"2018-01-22","60","POINT(-93 30.3)"
"2018-01-22","48","POINT(-92 30.3)"
"2018-01-22","36","POINT(-95.7 38.2)"
"2018-01-22","44","POINT(-86.8 37.9)"
"2018-01-22","47","POINT(-91.8 30.3)"
"2018-01-22","69","POINT(-91.7 30.3)"
"2018-01-22","83","POINT(-91.6 30.3)"
"2018-01-22","74","POINT(-91.4 30.3)"
"2018-01-22","47","POINT(-91.3 30.3)"
"2018-01-22","64","POINT(-91.2 30.3)"
"2018-01-22","106","POINT(-91.1 30.3)"
"2018-01-22","80","POINT(-90.9 30.3)"
"2018-01-22","286","POINT(-95 30.4)"
"2018-01-22","41","POINT(-92 30.4)"
"2018-01-22","53","POINT(-91 30.4)"
"2018-01-22","32","POINT(-95.1 30.4)"
"2018-01-22","139","POINT(-94.9 30.4)"
"2018-01-22","46","POINT(-94.8 30.4)"
"2018-01-22","59","POINT(-94.7 30.4)"
"2018-01-22","35","POINT(-95.1 30.2)"
"2018-01-22","32","POINT(-94.9 30.2)"
"2018-01-22","41","POINT(-94.2 30.2)"
"2018-01-22","72","POINT(-94.1 30.2)"
"2018-01-22","44","POINT(-93.6 30.2)"
"2018-01-22","88","POINT(-93.5 30.2)"
"2018-01-22","79","POINT(-93.4 30.2)"
"2018-01-22","79","POINT(-93.3 30.2)"
"2018-01-22","108","POINT(-93.2 30.2)"
"2018-01-22","86","POINT(-93.1 30.2)"
"2018-01-22","33","POINT(-92.9 30.2)"
"2018-01-22","75","POINT(-92.8 30.2)"
"2018-01-22","53","POINT(-92.7 30.2)"
"2018-01-22","36","POINT(-92.6 30.2)"
"2018-01-22","57","POINT(-92.5 30.2)"
"2018-01-22","73","POINT(-92.4 30.2)"
"2018-01-22","73","POINT(-92.3 30.2)"
"2018-01-22","64","POINT(-92.2 30.2)"
"2018-01-22","61","POINT(-90.8 30.4)"
"2018-01-22","93","POINT(-90.7 30.4)"
"2018-01-22","23","POINT(-90.5 30.4)"
"2018-01-22","48","POINT(-90.4 30.4)"
"2018-01-22","42","POINT(-95 30.5)"
"2018-01-22","256","POINT(-91 30.5)"
"2018-01-22","34","POINT(-95.1 30.5)"
"2018-01-22","64","POINT(-94.9 30.5)"
"2018-01-22","86","POINT(-94.8 30.5)"
"2018-01-22","73","POINT(-94.7 30.5)"
"2018-01-22","94","POINT(-94.6 30.5)"
"2018-01-22","67","POINT(-94.5 30.5)"
"2018-01-22","108","POINT(-94.4 30.5)"
"2018-01-22","103","POINT(-94.3 30.5)"
"2018-01-22","23","POINT(-93.6 30.5)"
"2018-01-22","25","POINT(-93.4 30.5)"
"2018-01-22","213","POINT(-91 30.3)"
"2018-01-22","26","POINT(-95.2 30.3)"
"2018-01-22","106","POINT(-95.1 30.3)"
"2018-01-22","64","POINT(-94.9 30.3)"
"2018-01-22","55","POINT(-94.8 30.3)"
"2018-01-22","26","POINT(-93.3 30.3)"
"2018-01-22","31","POINT(-92.9 30.3)"
"2018-01-22","26","POINT(-92.7 30.3)"
"2018-01-22","36","POINT(-92.6 30.3)"
"2018-01-22","49","POINT(-92.5 30.3)"
"2018-01-22","34","POINT(-92.4 30.3)"
"2018-01-22","33","POINT(-92.3 30.3)"
"2018-01-22","56","POINT(-92.2 30.3)"
"2018-01-22","68","POINT(-92.1 30.3)"
"2018-01-22","48","POINT(-91.9 30.3)"
"2018-01-22","44","POINT(-94.9 30.6)"
"2018-01-22","122","POINT(-94.7 30.6)"
"2018-01-22","194","POINT(-94.6 30.6)"
"2018-01-22","99","POINT(-94.5 30.6)"
"2018-01-22","110","POINT(-94.4 30.6)"
"2018-01-22","139","POINT(-94.3 30.6)"
"2018-01-22","291","POINT(-94.2 30.6)"
"2018-01-22","309","POINT(-94.1 30.6)"
"2018-01-22","36","POINT(-93.3 30.6)"
"2018-01-22","51","POINT(-91.2 30.6)"
"2018-01-22","33","POINT(-91.1 30.6)"
"2018-01-22","277","POINT(-90.9 30.6)"
"2018-01-22","177","POINT(-90.8 30.6)"
"2018-01-22","107","POINT(-90.7 30.6)"
"2018-01-22","52","POINT(-90.6 30.6)"
"2018-01-22","35","POINT(-94.6 30.4)"
"2018-01-22","56","POINT(-94.5 30.4)"
"2018-01-22","33","POINT(-94.1 30.4)"
"2018-01-22","35","POINT(-92.2 30.4)"
"2018-01-22","51","POINT(-92.1 30.4)"
"2018-01-22","31","POINT(-91.9 30.4)"
"2018-01-22","26","POINT(-91.8 30.4)"
"2018-01-22","82","POINT(-91.5 30.4)"
"2018-01-22","137","POINT(-91.4 30.4)"
"2018-01-22","105","POINT(-91.3 30.4)"
"2018-01-22","127","POINT(-91.2 30.4)"
"2018-01-22","94","POINT(-91.1 30.4)"
"2018-01-22","167","POINT(-90.9 30.4)"
"2018-01-22","34","POINT(-90.7 30.7)"
"2018-01-22","72","POINT(-90.6 30.7)"
"2018-01-22","44","POINT(-94 30.8)"
"2018-01-22","29","POINT(-88.6 38.2)"
"2018-01-22","26","POINT(-91.5 30.5)"
"2018-01-22","35","POINT(-91.4 30.5)"
"2018-01-22","103","POINT(-91.3 30.5)"
"2018-01-22","212","POINT(-91.2 30.5)"
"2018-01-22","219","POINT(-91.1 30.5)"
"2018-01-22","135","POINT(-90.9 30.5)"
"2018-01-22","44","POINT(-90.8 30.5)"
"2018-01-22","36","POINT(-94 30.6)"
"2018-01-22","28","POINT(-91 30.6)"
"2018-01-22","31","POINT(-89.2 38.3)"
